id,index,difficulty,equation1,equation2,answer
normal_0001,1,normal,x = ((y * (x * y)) * z) * w,x = (y * (x * z)) * (y * w),True
normal_0002,2,normal,x * y = z * (w * (u * u)),x * (y * y) = (z * w) * z,True
normal_0003,3,normal,x = x * (y * ((z * x) * x)),x = (y * ((z * z) * y)) * w,False
normal_0004,4,normal,x = y * (z * ((w * u) * u)),x = ((y * z) * x) * (x * w),True
normal_0005,5,normal,x = y * ((x * z) * (w * u)),x = (((x * x) * x) * x) * x,True
normal_0006,6,normal,x * y = ((z * w) * u) * y,x = x * ((y * x) * (y * z)),False
normal_0007,7,normal,x = (y * z) * (z * (w * z)),x * y = z * (w * (y * z)),True
normal_0008,8,normal,x = ((x * x) * (y * y)) * y,x * (y * x) = z * (x * w),False
normal_0009,9,normal,x = y * (((z * z) * w) * y),x * y = (y * z) * (x * z),True
normal_0010,10,normal,x * y = (z * w) * (w * z),(x * x) * y = (y * x) * x,True
normal_0011,11,normal,x = y * (y * ((z * x) * y)),x = ((y * y) * x) * (z * x),True
normal_0012,12,normal,x * x = (y * (x * y)) * y,x * y = z * (z * (y * y)),False
normal_0013,13,normal,x = (y * y) * ((y * z) * w),x = ((y * z) * (x * y)) * x,True
normal_0014,14,normal,(x * y) * x = (y * z) * x,x * y = (z * z) * y,False
normal_0015,15,normal,x * y = ((z * y) * z) * w,x = y * (y * (z * (z * z))),False
normal_0016,16,normal,(x * y) * z = (z * y) * x,x * (y * x) = (x * z) * y,False
normal_0017,17,normal,x * (y * z) = y * (x * w),x = (x * ((x * x) * x)) * y,False
normal_0018,18,normal,x = y * ((x * (x * y)) * z),x = y * (z * ((x * y) * w)),True
normal_0019,19,normal,x * y = z * (w * (u * y)),x = ((y * x) * z) * (z * x),False
normal_0020,20,normal,x = (x * (x * x)) * (y * y),x = (y * x) * ((x * x) * y),False
normal_0021,21,normal,x * (x * x) = x * (y * z),x * x = ((y * z) * w) * z,False
normal_0022,22,normal,x = ((y * y) * (x * y)) * z,x * y = z * (w * (u * y)),True
normal_0023,23,normal,x = (y * (x * (z * x))) * y,x * y = x * ((z * w) * z),True
normal_0024,24,normal,x * (y * x) = (z * z) * y,x = y * (((z * x) * x) * x),False
normal_0025,25,normal,x * x = y * (y * x),x = ((x * y) * x) * (x * y),False
normal_0026,26,normal,x = ((x * y) * z) * (z * w),x = x * (((x * x) * y) * x),False
normal_0027,27,normal,x * y = ((y * x) * x) * x,x = (x * x) * (y * (y * y)),False
normal_0028,28,normal,x = y * ((z * (z * y)) * y),x = y * (z * ((w * y) * x)),True
normal_0029,29,normal,x = x * (x * ((y * z) * z)),x = (x * x) * (y * (z * y)),False
normal_0030,30,normal,x = x * (y * ((z * x) * x)),x * y = ((y * z) * x) * y,False
normal_0031,31,normal,x = y * ((z * (z * w)) * z),x = (y * z) * (y * (w * z)),True
normal_0032,32,normal,x * y = y * (z * (y * z)),x * y = y * ((y * z) * z),True
normal_0033,33,normal,x = (x * (y * y)) * (x * x),x = ((y * z) * z) * (y * w),False
normal_0034,34,normal,x = ((y * (z * y)) * y) * z,x = y * ((z * (w * x)) * z),True
normal_0035,35,normal,x = (y * z) * ((y * x) * w),x = (y * (z * x)) * (x * w),True
normal_0036,36,normal,x * x = ((x * y) * y) * y,x * x = y * (x * (y * y)),False
normal_0037,37,normal,x = (y * (z * w)) * (z * y),x = ((y * (z * z)) * w) * z,True
normal_0038,38,normal,x = (y * y) * (z * (z * z)),x = x * (x * (y * (y * x))),True
normal_0039,39,normal,x = y * (((y * z) * w) * w),x = (y * (y * x)) * (y * y),True
normal_0040,40,normal,x = y * (y * ((y * z) * y)),x = (((y * z) * x) * x) * y,True
normal_0041,41,normal,(x * x) * x = (x * y) * x,x = (y * (x * (z * z))) * y,False
normal_0042,42,normal,x = (y * (z * x)) * (w * y),x * x = y * (z * (w * y)),True
normal_0043,43,normal,x = x * ((x * (y * x)) * z),x * y = (y * (x * y)) * y,False
normal_0044,44,normal,x * (x * y) = (y * x) * y,x = x * (y * ((x * z) * w)),False
normal_0045,45,normal,x * y = x * (x * x),x * y = (x * x) * y,False
normal_0046,46,normal,x = (y * (x * z)) * (y * x),x = (y * y) * ((y * z) * x),True
normal_0047,47,normal,x * x = y * (y * y),x = (x * y) * ((x * z) * x),False
normal_0048,48,normal,x = (y * z) * (w * (y * y)),x = x * (((x * y) * x) * z),True
normal_0049,49,normal,x = y * (x * ((z * z) * w)),x = ((x * (y * y)) * x) * y,True
normal_0050,50,normal,x = (y * x) * (y * (z * y)),x = ((y * z) * w) * (y * w),True
normal_0051,51,normal,x = y * ((z * y) * x),x = (y * (x * y)) * (x * z),False
normal_0052,52,normal,x * y = z * (z * (w * u)),x = (((y * y) * x) * z) * y,False
normal_0053,53,normal,x = (y * x) * (x * (z * x)),x = (((y * z) * w) * w) * x,False
normal_0054,54,normal,x = (y * y) * y,x * y = (y * y) * (y * x),True
normal_0055,55,normal,x = (x * ((y * z) * w)) * y,x = y * (z * (z * (z * y))),False
normal_0056,56,normal,x = ((y * (y * z)) * w) * w,x = x * ((y * z) * (y * w)),True
normal_0057,57,normal,x = ((y * (z * z)) * w) * y,x = y * (((z * x) * w) * x),True
normal_0058,58,normal,x = (((y * z) * y) * y) * y,x * y = ((x * x) * z) * w,True
normal_0059,59,normal,x = x * (y * ((z * z) * z)),x = ((y * (z * w)) * w) * z,False
normal_0060,60,normal,x = y * (((z * y) * x) * y),x * y = y * (z * w),True
normal_0061,61,normal,x * y = x * (y * (y * z)),x = y * (z * (w * x)),False
normal_0062,62,normal,x = ((y * x) * (y * z)) * y,x = ((y * z) * (y * w)) * u,True
normal_0063,63,normal,x = ((y * (x * y)) * y) * z,x = ((y * z) * x) * (z * z),True
normal_0064,64,normal,x = x * ((y * y) * (z * z)),x = y * (z * (w * z)),False
normal_0065,65,normal,x = ((y * z) * w) * (x * y),x * y = y * (y * (z * z)),True
normal_0066,66,normal,x * y = (z * z) * (w * x),x * x = (x * (y * x)) * z,True
normal_0067,67,normal,x = y * (((z * y) * y) * w),x = (((y * x) * y) * y) * y,True
normal_0068,68,normal,x * y = (z * w) * (z * x),x * y = z * (z * (x * x)),True
normal_0069,69,normal,x = ((y * (z * z)) * x) * w,(x * y) * z = (y * x) * z,True
normal_0070,70,normal,x * y = (y * y) * z,x * (y * z) = (x * x) * y,True
normal_0071,71,normal,x * y = ((z * w) * z) * w,x = ((y * (y * y)) * x) * x,False
normal_0072,72,normal,x = ((y * (z * y)) * w) * x,x = (x * (y * (z * z))) * x,True
normal_0073,73,normal,x * (x * y) = (x * z) * x,x = (y * z) * (z * (w * w)),False
normal_0074,74,normal,x * y = (z * (w * x)) * z,x = y * (z * (z * (z * x))),False
normal_0075,75,normal,x = y * ((y * (z * w)) * y),x * y = y * ((y * y) * z),True
normal_0076,76,normal,x = ((y * z) * (x * w)) * u,x = y * (x * x),True
normal_0077,77,normal,x * y = (y * y) * (z * w),x * y = ((z * w) * x) * w,True
normal_0078,78,normal,x = y * (z * (z * (z * x))),x = y * (x * ((z * w) * y)),False
normal_0079,79,normal,x = y * (((x * y) * y) * z),x * (y * z) = (x * y) * w,True
normal_0080,80,normal,x * x = x * ((y * x) * x),x = (y * z) * (w * (x * u)),False
normal_0081,81,normal,x = (y * y) * ((y * y) * y),x * y = (x * y) * (z * z),True
normal_0082,82,normal,x = (y * ((x * x) * x)) * x,x = ((y * z) * w) * (w * y),False
normal_0083,83,normal,x = (y * ((x * z) * x)) * y,x = (y * z) * ((x * y) * w),True
normal_0084,84,normal,x = (y * (z * w)) * (w * z),(x * y) * x = (z * w) * w,True
normal_0085,85,normal,x = (x * (x * y)) * (y * y),x * x = y * (x * z),False
normal_0086,86,normal,x = (y * y) * (z * (z * z)),x = (((x * y) * y) * y) * x,True
normal_0087,87,normal,x = y * ((x * y) * (z * y)),x * y = (z * (w * w)) * w,True
normal_0088,88,normal,x = (x * x) * ((y * z) * z),x = y * (z * (z * (z * z))),False
normal_0089,89,normal,x = (y * (z * w)) * (w * u),x = ((y * (x * z)) * y) * w,True
normal_0090,90,normal,x = (y * (z * (z * x))) * x,x = (x * ((y * x) * x)) * x,True
normal_0091,91,normal,x = (y * ((y * x) * z)) * w,x * y = z * ((y * x) * x),True
normal_0092,92,normal,x = (y * ((z * x) * w)) * z,x = x * (y * (y * (z * z))),True
normal_0093,93,normal,x = y * ((z * z) * (z * y)),x = ((y * z) * (z * y)) * x,True
normal_0094,94,normal,x * (x * y) = z * (x * z),x * y = (z * w) * w,False
normal_0095,95,normal,x = ((x * y) * x) * (y * y),x = ((y * (y * y)) * z) * x,False
normal_0096,96,normal,x = (((x * y) * z) * x) * z,x = ((y * (y * z)) * z) * y,False
normal_0097,97,normal,x = (x * (x * y)) * (z * z),x * y = (z * z) * (z * y),False
normal_0098,98,normal,x = y * (y * z),x = (y * x) * (x * (y * x)),True
normal_0099,99,normal,x = y * ((x * x) * (z * w)),x * y = (y * z) * (w * u),True
normal_0100,100,normal,x = y * ((z * (x * y)) * x),x = ((y * x) * (z * x)) * z,False
normal_0101,101,normal,x * y = ((z * y) * y) * w,x * y = (y * x) * z,True
normal_0102,102,normal,(x * x) * x = (x * y) * y,x = y * (z * ((w * y) * z)),False
normal_0103,103,normal,x = (y * (z * z)) * z,x = y * (x * ((z * w) * u)),True
normal_0104,104,normal,x = (y * z) * (w * (z * z)),x = y * ((z * (w * y)) * u),True
normal_0105,105,normal,x = y * ((y * z) * y),x = y * (((x * x) * z) * y),True
normal_0106,106,normal,x = (x * ((y * y) * z)) * x,x * x = (y * z) * (z * w),False
normal_0107,107,normal,x * (x * y) = (x * z) * w,x = ((y * (x * x)) * x) * z,False
normal_0108,108,normal,(x * y) * z = (w * u) * z,x * y = (x * (z * x)) * z,False
normal_0109,109,normal,x * y = (z * w) * (y * x),x = y * (z * z),False
normal_0110,110,normal,x = ((y * (x * z)) * y) * w,x = y * (((y * x) * y) * z),True
normal_0111,111,normal,x = (x * (y * (z * w))) * y,(x * x) * y = (z * w) * x,False
normal_0112,112,normal,x = y * ((z * w) * u),x = x * (((y * x) * x) * z),True
normal_0113,113,normal,x = ((y * y) * (z * y)) * y,x = x * ((y * z) * (y * y)),True
normal_0114,114,normal,(x * y) * z = (y * z) * x,x = (y * z) * ((w * u) * v),False
normal_0115,115,normal,x = y * (((z * x) * w) * y),x * y = x * (y * (z * w)),True
normal_0116,116,normal,x = (y * z) * ((y * w) * x),x = (y * ((z * x) * y)) * z,False
normal_0117,117,normal,x = ((y * x) * (y * z)) * z,x = ((y * x) * y) * (x * z),False
normal_0118,118,normal,x = (y * ((z * w) * z)) * z,x = x * (x * (y * (z * y))),True
normal_0119,119,normal,x = (y * (z * w)) * (y * x),x = x * (((y * z) * w) * w),False
normal_0120,120,normal,x = y * ((z * w) * (u * w)),x = (x * (x * (y * x))) * z,True
normal_0121,121,normal,x * y = y * ((z * w) * w),x * (x * y) = z * (y * y),True
normal_0122,122,normal,x = y * (y * (x * z)),x = (y * ((z * x) * w)) * u,True
normal_0123,123,normal,x = (y * z) * ((y * w) * w),x * y = ((z * y) * y) * w,True
normal_0124,124,normal,x = (y * y) * ((x * z) * y),x = (y * ((z * w) * w)) * z,True
normal_0125,125,normal,x * y = z * (w * (z * u)),x * x = (y * (z * w)) * y,True
normal_0126,126,normal,x = (((y * x) * x) * z) * z,x * (y * x) = (x * z) * w,True
normal_0127,127,normal,x * (x * x) = (x * y) * x,x = y * ((x * (x * x)) * y),False
normal_0128,128,normal,x * x = (x * y) * (z * x),(x * y) * x = (z * x) * y,False
normal_0129,129,normal,x = y * (((z * z) * w) * x),x = (y * z) * (w * (x * w)),False
normal_0130,130,normal,x = (y * (x * (z * y))) * x,x = y * ((y * (z * x)) * z),False
normal_0131,131,normal,x = ((x * (y * y)) * z) * z,x = (((y * z) * w) * z) * w,False
normal_0132,132,normal,x = y * ((z * (x * z)) * z),x = (y * (y * z)) * (y * z),True
normal_0133,133,normal,x = y * ((z * (z * y)) * x),x * y = (x * (z * z)) * z,False
normal_0134,134,normal,x = y * ((x * x) * z),x = (y * (y * y)) * (z * y),True
normal_0135,135,normal,x = ((y * (z * y)) * z) * y,x = (x * x) * (y * y),True
normal_0136,136,normal,x = (y * z) * (w * (u * y)),x = (y * ((z * y) * z)) * z,True
normal_0137,137,normal,x = ((y * (z * w)) * x) * w,x = x * (y * (y * x)),True
normal_0138,138,normal,x = y * ((x * x) * z),x * (y * z) = (w * w) * u,True
normal_0139,139,normal,x = y * ((x * x) * (x * x)),x = (y * y) * (z * y),False
normal_0140,140,normal,x = (y * (z * (z * x))) * y,x = (x * (x * x)) * (x * x),True
normal_0141,141,normal,x = ((y * z) * (y * w)) * z,x * x = x * (y * z),True
normal_0142,142,normal,x = (y * x) * ((y * x) * x),x * y = x * ((x * x) * x),False
normal_0143,143,normal,x * x = (x * x) * (y * y),x * (y * z) = (x * w) * y,False
normal_0144,144,normal,x = (y * (x * y)) * (z * x),x = (y * (z * x)) * (z * x),True
normal_0145,145,normal,x = ((y * z) * (z * w)) * w,x = (y * y) * (y * (z * z)),True
normal_0146,146,normal,x = y * ((z * w) * (u * v)),x = (y * (y * (z * w))) * u,True
normal_0147,147,normal,x = (x * x) * (y * (y * z)),x = (y * x) * (z * (y * y)),False
normal_0148,148,normal,x = ((y * (z * w)) * w) * w,x * y = z * ((w * w) * z),True
normal_0149,149,normal,x * y = z * ((x * w) * u),x = (y * (z * w)) * (u * u),False
normal_0150,150,normal,x = (y * z) * (w * (z * u)),x = (x * y) * (x * x),True
normal_0151,151,normal,x * (x * y) = y * (x * y),x = y * (((z * z) * z) * z),False
normal_0152,152,normal,x = y * (x * ((y * z) * w)),x = (y * z) * ((w * x) * w),True
normal_0153,153,normal,x = (y * ((z * y) * x)) * y,x = (y * (x * y)) * z,True
normal_0154,154,normal,x = ((y * (y * z)) * x) * y,x = (y * z) * (w * z),True
normal_0155,155,normal,x = y * ((z * w) * (u * w)),x = ((y * y) * (z * x)) * z,True
normal_0156,156,normal,x * x = (x * y) * (x * z),x = x * ((y * z) * (z * w)),False
normal_0157,157,normal,x = y * ((x * y) * (z * z)),x = (x * ((y * x) * z)) * x,False
normal_0158,158,normal,x = x * (((y * y) * x) * z),(x * x) * y = (y * x) * z,False
normal_0159,159,normal,x * x = ((y * z) * w) * w,x = (y * (z * w)) * (w * w),False
normal_0160,160,normal,x = y * (z * (w * (z * z))),x = (y * (z * w)) * x,True
normal_0161,161,normal,x = y * (y * ((x * z) * z)),x * y = y * ((z * x) * z),True
normal_0162,162,normal,x = ((y * (z * z)) * y) * x,x = (x * y) * (y * (y * z)),False
normal_0163,163,normal,x * y = (x * z) * (y * x),x = (x * ((y * y) * y)) * x,False
