id,index,difficulty,equation1,equation2,answer
hard1_0001,1,hard,x = y * (y * ((x * y) * x)),x * y = ((z * x) * w) * y,False
hard1_0002,2,hard,x * (y * z) = (z * w) * w,x * (y * x) = (x * y) * z,False
hard1_0003,3,hard,x = ((y * y) * z) * x,x = x * (((y * x) * x) * x),True
hard1_0004,4,hard,(x * y) * x = (x * z) * w,x * (y * y) = x * (z * y),False
hard1_0005,5,hard,x = ((y * z) * (z * x)) * y,x * x = (y * (y * y)) * y,False
hard1_0006,6,hard,x * x = (x * y) * z,x * x = (y * z) * w,False
hard1_0007,7,hard,x = (y * (y * (y * z))) * x,x * y = z * (w * (w * y)),True
hard1_0008,8,hard,x = x * (y * ((y * z) * y)),x = x * ((x * (x * x)) * x),False
hard1_0009,9,hard,x = ((x * x) * (y * z)) * y,x = ((x * (y * x)) * x) * y,False
hard1_0010,10,hard,(x * x) * y = (y * y) * z,x * (y * y) = x * (z * z),False
hard1_0011,11,hard,x = (x * (y * z)) * (w * y),x = (y * (z * w)) * (u * z),False
hard1_0012,12,hard,(x * y) * x = (z * w) * u,x * (x * x) = x * (y * y),False
hard1_0013,13,hard,x * y = ((z * y) * x) * x,x * y = y * (y * (y * y)),True
hard1_0014,14,hard,x = (y * x) * (x * (x * z)),x = y * (z * (z * (x * y))),False
hard1_0015,15,hard,x * x = x * (y * (z * y)),x * (x * x) = x * (y * x),False
hard1_0016,16,hard,x = (x * y) * (x * (y * z)),x = (x * y) * (x * (z * y)),False
hard1_0017,17,hard,x = y * (((x * y) * x) * y),x = ((x * (y * z)) * z) * y,False
hard1_0018,18,hard,x = ((y * x) * y) * (z * z),x = x * (((x * y) * x) * y),True
hard1_0019,19,hard,x * y = (x * (y * x)) * z,x * y = (x * (x * z)) * x,False
hard1_0020,20,hard,x * (y * z) = (x * x) * z,x * (y * z) = (y * y) * x,False
hard1_0021,21,hard,x = y * ((y * x) * (x * y)),x = (y * (x * y)) * x,False
hard1_0022,22,hard,x * y = (y * (y * x)) * x,x * y = (x * y) * (x * y),False
hard1_0023,23,hard,x = (x * y) * (z * z),x * x = x * ((y * z) * w),True
hard1_0024,24,hard,x = y * (y * ((x * y) * x)),x = x * ((y * z) * (z * x)),False
hard1_0025,25,hard,x = ((y * (z * z)) * x) * y,x = y * ((y * (z * x)) * z),False
hard1_0026,26,hard,x = ((x * (y * z)) * z) * x,x * x = x * (y * (y * x)),False
hard1_0027,27,hard,x = x * (y * (x * z)),x = ((x * y) * (z * w)) * u,True
hard1_0028,28,hard,x * y = z * ((x * x) * y),x * (x * y) = (y * x) * y,False
hard1_0029,29,hard,x = (y * y) * ((z * x) * x),x * y = (y * (z * x)) * y,False
hard1_0030,30,hard,x = (y * (x * (y * x))) * y,x * (x * y) = z * (y * x),False
hard1_0031,31,hard,x = ((y * x) * x) * (x * z),x = y * ((x * z) * (z * w)),False
hard1_0032,32,hard,x = ((y * x) * x) * (x * z),x * y = (z * z) * z,False
hard1_0033,33,hard,x = ((y * (z * y)) * y) * x,x = (y * ((z * w) * y)) * x,False
hard1_0034,34,hard,x * y = (y * x) * z,x * y = z * ((w * y) * y),True
